classification	source_kind	branch	head	worktree	source_path	status	sha256	same_path_in_main	content_paths_in_main	snapshot_path
content_present_elsewhere	branch-head	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	/data/CoordExp/.worktrees/mechanistic-diagnosis-experiments	docs/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-protocol.md	A	62aac6dd1bf03b7df33b0046fd4360627aad06d8be4d9f97e94c6dfe1a6a94d4	no	docs/history/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-protocol.md	-
content_present_elsewhere	branch-head	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	/data/CoordExp/.worktrees/mechanistic-diagnosis-experiments	docs/superpowers/specs/2026-06-08-loss-only-instance-enumeration-design.md	A	ec1527f3f4e0ad216cc4c4bac43dfe1c5aaa7877156652f87eaa883ab8f7c07a	no	docs/history/superpowers/specs/2026-06-08-loss-only-instance-enumeration-design.md	-
content_present_elsewhere	branch-head	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	/data/CoordExp/.worktrees/mechanistic-diagnosis-experiments	docs/superpowers/specs/2026-06-08-pixel-painted-row-coverage-design.md	A	316bebced7cf5c55c6a27b3076ffbe0f22e658c4ee892607557325a6a31b228c	no	docs/history/superpowers/specs/2026-06-08-pixel-painted-row-coverage-design.md	-
content_present_elsewhere	branch-head	codex/prefix-denoising-sft	d08ef3ed63f6ffbd7d572afb162ea921b9b3a7ba	/data/CoordExp/.worktrees/geometry-aware-denoising-sft	docs/superpowers/specs/2026-06-14-prefix-denoising-sft-v1-design.md	A	c081faf3a5f49c48cf4262136f6d4cc907e4c14c7228df5c8ab6fa7e1fd682de	no	docs/history/superpowers/specs/2026-06-14-prefix-denoising-sft-v1-design.md	-
content_present_elsewhere	branch-head	codex/row-conditioned-visual-coverage	1629d7fd8ec4d89dc04f5f4c2997c36a7e68dbbd	/data/CoordExp/.worktrees/row-conditioned-visual-coverage	docs/superpowers/plans/2026-06-05-row-conditioned-visual-coverage-prototype.md	A	e78e3dc1d4e3f8ad5352793e2cf21d0e359bc4d039cb929ce0e7266cc32521eb	no	docs/history/superpowers/plans/2026-06-05-row-conditioned-visual-coverage-prototype.md	-
content_present_elsewhere	branch-head	codex/row-conditioned-visual-coverage	1629d7fd8ec4d89dc04f5f4c2997c36a7e68dbbd	/data/CoordExp/.worktrees/row-conditioned-visual-coverage	docs/superpowers/plans/2026-06-08-pixel-painted-row-coverage.md	A	3a3e526a1f46fd936ae809ebd1942d8cb0f22aa5099ef099fa63bdad9f733b2d	no	docs/history/superpowers/plans/2026-06-08-pixel-painted-row-coverage.md	-
content_present_elsewhere	branch-head	codex/row-conditioned-visual-coverage	1629d7fd8ec4d89dc04f5f4c2997c36a7e68dbbd	/data/CoordExp/.worktrees/row-conditioned-visual-coverage	docs/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-design.md	A	7f68f787b2d5662547542609db50ec72510ec2ee5d6d50656a622429e1ffe9ff	no	docs/history/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-design.md	-
content_present_elsewhere	branch-head	codex/row-conditioned-visual-coverage	1629d7fd8ec4d89dc04f5f4c2997c36a7e68dbbd	/data/CoordExp/.worktrees/row-conditioned-visual-coverage	docs/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-protocol.md	A	62aac6dd1bf03b7df33b0046fd4360627aad06d8be4d9f97e94c6dfe1a6a94d4	no	docs/history/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-protocol.md	-
content_present_elsewhere	branch-head	codex/row-conditioned-visual-coverage	1629d7fd8ec4d89dc04f5f4c2997c36a7e68dbbd	/data/CoordExp/.worktrees/row-conditioned-visual-coverage	docs/superpowers/specs/2026-06-08-pixel-painted-row-coverage-design.md	A	316bebced7cf5c55c6a27b3076ffbe0f22e658c4ee892607557325a6a31b228c	no	docs/history/superpowers/specs/2026-06-08-pixel-painted-row-coverage-design.md	-
content_present_elsewhere	branch-head	codex/segment-aware-packing-infra	e8f9bb8e1a309b8887d133a570951691889648b6	/data/CoordExp/.worktrees/segment-aware-packing-infra	docs/superpowers/plans/2026-06-05-row-conditioned-visual-coverage-prototype.md	A	e78e3dc1d4e3f8ad5352793e2cf21d0e359bc4d039cb929ce0e7266cc32521eb	no	docs/history/superpowers/plans/2026-06-05-row-conditioned-visual-coverage-prototype.md	-
